X1,X2,X3,X4,X5,X6,age,salary,Married,Happiness
0.496714153,-0.033025264,0.879307293,-0.671373519,0.732014272,-0.471857548,37,59944.87591,1,1
-0.138264301,-0.50365026,0.039309199,-0.713799466,-1.611565622,1.012702471,37,84392.78083,1,1
0.647688538,-0.172374957,-0.912325514,1.425405932,-0.676345992,-0.198186847,29,46288.18573,0,1
1.523029856,0.714731728,-0.462499153,1.864413664,-1.368047959,0.090569265,34,56447.87151,0,1
-0.234153375,1.277856655,0.342853466,-0.928882458,0.189301061,0.717390607,38,50846.83418,1,1
-0.234136957,0.570487331,1.818464378,-0.668994432,-1.323344332,-0.058963407,57,55069.07076,1,1
1.579212816,0.101723208,-0.484019623,1.14252282,-1.981047177,-1.817847858,41,60588.62924,1,1
0.767434729,1.49801177,0.804787444,0.533519993,-0.237477337,1.040587505,47,80101.46724,0,1
-0.469474386,-0.312836473,-0.328056451,0.676428105,-2.209079052,1.25492883,40,84634.364,0,1
0.542560044,1.030919338,0.110468756,0.896601295,0.258738195,-1.831116092,40,62337.59625,0,0
-0.463417693,-0.288062798,1.515396749,-0.240732162,-1.257629523,-1.043291206,64,49101.25974,0,0
-0.465729754,0.431022958,0.764292581,0.329969925,-0.840579748,2.023879617,34,70170.56394,0,1
0.241962272,-0.113562565,-1.241299273,0.252192151,-2.280415973,0.232034679,19,60078.97798,1,0
-1.913280245,-0.055852183,-0.572475024,-0.8584916,1.650102214,0.003551273,59,60568.46534,1,0
-1.724917833,-0.377386517,1.256221344,0.315090943,-1.462914887,-0.426383407,41,44522.65254,0,0
-0.562287529,1.344854031,0.141878043,1.237710696,-0.364001235,-1.030702651,50,35743.71848,0,1
-1.01283112,-0.732926038,-1.14884012,-0.334133239,-1.791738592,-0.194417642,62,59716.20035,0,0
0.314247333,-0.740232253,-0.818952445,0.152569249,-0.835667808,0.974422739,61,43958.11865,0,1
-0.908024076,2.120993566,0.703493523,0.206708916,1.751821781,-0.015677959,32,52045.98953,1,1
-1.412303701,0.977847565,0.994410281,-0.28466455,0.297476735,0.610284086,49,82239.94628,1,0
1.465648769,-2.385113699,0.017855301,0.676901238,-0.723630996,1.765707149,59,58947.64562,0,1
-0.2257763,-0.565258739,2.475313801,-0.680065631,-0.03417348,-0.58047818,51,76606.38674,1,0
0.067528205,-1.811989338,0.824152363,1.332645519,-0.560559057,0.302874901,39,64442.14489,0,1
-1.424748186,-0.950690693,-0.24348107,0.626205562,-0.09242058,1.004393561,48,68757.54878,1,0
-0.544382725,-3.138514666,-0.815706048,-0.936768601,0.743868719,-0.932903633,32,51749.44704,0,1
0.11092259,-0.136989578,-0.974884305,1.698009685,-0.33109799,0.178052828,37,77293.67199,0,1
-1.150993577,-1.141941819,0.33542132,0.168101461,0.219991474,1.872324525,59,64662.42398,0,0
0.375698018,0.059905257,-0.488777045,-0.722947517,0.236495498,-0.34025038,40,56033.9721,0,0
-0.60063869,-1.625121259,1.673743754,1.104554525,-0.326145647,1.068346538,48,64654.49894,0,0
-0.29169375,0.082911853,1.466311803,0.494671519,-0.73592599,-0.141136877,19,49271.36268,1,1
-0.601706612,-0.414916278,0.633066547,-1.771959704,-0.525183357,1.799587017,30,55594.76827,0,0
1.852278185,1.501952965,-1.178996173,-0.525660317,0.699185252,-1.645467889,59,59170.9285,1,0
-0.013497225,1.411356862,-0.672218873,0.279097337,0.782416705,0.064956191,49,52114.66652,1,0
-1.057710929,0.785345603,1.255677526,-2.159566678,-1.137794331,-1.478854695,66,83380.80165,1,1
0.822544912,-0.326613781,-0.5630662,0.085070085,-0.260989334,-0.700876816,33,53772.2563,0,0
-1.22084365,1.985380395,1.122141734,0.157979373,-0.752921869,-0.706818785,32,91237.79721,0,0
0.208863595,-1.553035278,0.474603923,-1.183491882,0.79995243,-0.266956307,42,61009.00727,1,1
-1.959670124,-1.40355863,0.051717885,0.270644886,-0.47120304,-1.188291351,29,56485.05598,1,1
-1.328186049,-0.0837831,-0.702832813,0.007463839,2.200923818,-0.071739558,45,52433.5816,1,1
0.196861236,2.254038109,-0.094243844,-1.191294106,0.21789739,0.460466504,58,66336.13959,0,1
0.73846658,-0.202338907,0.189647955,0.919560547,1.181996454,-1.531903133,29,73412.89399,0,0
0.171368281,-0.183245243,1.032538898,0.837853795,-1.014610827,-0.63493249,38,30000,1,0
-0.115648282,-1.441910356,-0.885735601,-0.289737087,0.011722149,2.540992133,29,60073.24997,0,1
-0.301103696,0.945929585,-0.262816843,-0.198581323,0.616173098,0.329237139,68,30178.56681,1,1
-1.47852199,0.953176254,0.044823132,0.726263938,-1.033300242,-1.817741204,66,74727.38531,1,0
