PCA1,PCA2,PCA3,PCA4,Y
-0.752759287,2.704285838459497,1.3919636508684308,0.5919509051822196,1
-2.063888157,-2.064032878,-2.651498327,2.1970568746496113,0
0.60669007,1.2484354667762734,-2.876493034,2.819459112971966,0
1.994655845,-1.725965336,-1.909050197,-1.899572941,0
-1.174546542,0.14853858979342682,-0.408329888,-1.252625159,1
0.6711173683342766,-2.163036836,-1.247132109,-0.80182894,0
-0.263580095,1.7110557683580812,-1.801957307,0.08540663,1
0.5544874131722546,-2.721297524,0.6452691114086302,-1.976855258,0
-2.609690442,2.6933132235199997,2.793792198447356,1.8503840886987666,1
-1.172317385,-2.413967316,1.1053981590729416,-0.359085038,1
-2.267770591,-0.028938539,-2.793668873,2.4559224124726926,1
-1.44732011,0.9751337061238918,-1.129733543,0.12040812706686488,0
0.2802616760596779,-1.890873267,2.817507766587351,1.6507969401666873,0
2.6369936493851345,2.3689641025658927,0.5873998728665111,2.531245410138701,1
-2.469044988,-1.824102825,-2.728636267,-1.048018015,1
-0.667936262,-1.371905809,1.972425054911576,-0.85948004,1
-1.314392942,0.25617649894949057,-2.15445465,1.813181884524238,1
-2.552696138,2.9213216196031038,1.633468615779945,-1.807705911,1
-2.966867297,1.8927685707290047,1.2411440630857022,1.3740430082459234,1
1.6276220801156747,-2.55573209,-0.849205629,-2.304785643,1
2.178620555253561,0.7397887609653475,-1.014611851,-2.618649898,1
-1.13410607,-1.048900068,1.3776370700283849,0.8253448281312785,0
2.3232764554579592,-0.166710449,-2.282434524,1.2794687233379705,1
1.5647102917013846,0.3676631854169772,1.6258030797273655,-0.037226422,1
0.13639697629196412,-0.43475389,-2.84748524,-2.352651438,1
-2.811424886,0.8184624675826822,-1.113864114,0.051424146988216624,0
2.445398843556558,-1.504246625,-0.537702462,1.533306831258292,0
-1.627211007,-2.538120541,-1.261491283,-2.032672276,1
2.578185914055439,1.8487222773865017,0.8004225390625406,2.2287635411263063,1
1.822032461394687,-1.880579647,2.355353990939866,0.23605345149390455,0
1.844640930984375,2.376547799540959,-1.09197915,-2.339688453,0
-1.632389025,-0.437353268,1.9080885955349585,2.1643834995380606,1
-2.958287217,0.064483815,-0.495533981,-1.667353137,1
-2.280807796,-0.974308972,2.657458223475115,-1.060782408,1
0.11274373046019637,1.2181137533710675,-0.818222386,2.8306924963257636,0
2.7746837696526674,-1.489306225,-0.016508965,-1.194730141,0
-1.290957034,-2.778678316,0.6573860038793811,0.016074139373168705,1
-2.691127493,-1.328121215,2.4495953157999217,-1.562628656,0
-2.130630767,-0.063283438,2.913902724663604,-1.547668371,1
1.0328132844352709,1.569717691972306,-1.574174736,1.3692980916711575,1
-0.793301204,0.7938349835614771,0.801178265,0.21464810444855065,1
-2.45826138,2.0118149735354276,-1.07531961,-1.880888938,1
-2.755349151,0.5453576591294507,1.065386171053694,-2.900473026,0
0.07255835,-1.641025349,0.8710367424566989,-1.953801426,0
1.1456264286147952,-0.679587922,2.6203799324204073,-2.174874335,1
-0.953601894,-2.319158873,2.5481617096713762,2.264036120285886,0
-1.452350234,0.9599042762050742,1.9033332012072952,0.33120486959677375,1
0.17790347013603913,-1.548886255,-2.441383393,2.3832945477199603,1
2.402508342979983,0.7986087436396074,-0.965821254,-0.904742552,1
1.355734073221436,2.382661559715462,2.322518545590704,1.6792532751457436,1
0.8521898769257268,-2.49516021,-2.030227715,2.3913251311624757,0
0.6385743579575394,-2.94481769,-2.391170743,0.9810106146483348,0
-2.969630497,-2.035151691,0.2924027361995165,1.151371186,1
0.9117675570156032,-1.654384143,1.2730753280852154,-1.576505475,0
-1.047601811,1.4789484307081446,0.897797394,2.0953404629650674,1
0.9456773538020604,0.4098516200128297,-2.437951393,-0.793705182,0
-1.408785794,-1.53606214,2.8380633285146732,-0.641413652,1
2.3522793310626797,0.7868317559835774,1.7688678212498905,0.015822558631152894,1
0.4614233077581549,-0.044893837,-1.828542073,1.334712691569032,1
